F1,min,0.0
,ave,0.0
,std,0.0
F2,min,4.718447854656915e-15
,ave,4.718447854656915e-15
,std,0.0
F3,min,34.49363243549356
,ave,143.76275254017185
,std,68.66482072204724
F4,min,4.4872893667502467e-07
,ave,5.436785222765273e-07
,std,5.333560196312377e-08
F5,min,26.23893200476079
,ave,26.31762219763211
,std,0.05748310510506236
F6,min,0
,ave,0.0
,std,0.0
F7,min,0.007934240105746903
,ave,0.012753483428865502
,std,0.003972688203573084
F8,min,-12569.486618173014
,ave,-12569.486618173016
,std,3.150582065370831e-12
F9,min,11.939508685119698
,ave,14.327410422143574
,std,1.248002863161503
F10,min,4.2047518843444337e-22
,ave,4.2047518843444337e-22
,std,0.0
F11,min,4.627409566637652e-13
,ave,0.11391685819652024
,std,0.044681867912924354
F12,min,-1.021537633257688
,ave,-1.0215376332576875
,std,2.5639502485114184e-16
Ackley,min,9.933733524647437e-08
,ave,1.2955604586177098e-07
,std,1.7518394287944547e-08
Perm,min,0.04610625393100294
,ave,1.0551174502137715
,std,1.3952708883539742
Trid,min,-3801.8736486109847
,ave,-2758.904758439376
,std,490.41681574964736
Zakharov,min,26.094169596339754
,ave,50.746064127671545
,std,12.683107898851569
Powell,min,0.00011153686479080029
,ave,0.00026822448745557874
,std,0.00010651836160168308
